Result Time,Granularity Period,Object Name,Reliability,"L.Cell.Avail.Dur","L.Cell.Unavail.Dur.EnergySaving","L.Cell.Unavail.Dur.Manual","L.Cell.Unavail.Dur.Sys","L.Cell.Unavail.Dur.Sys.S1Fail","L.Voice.E2EVQI.Accept.Times","L.Voice.E2EVQI.Bad.Times","L.Voice.E2EVQI.Excellent.Times","L.Voice.E2EVQI.Good.Times","L.Voice.E2EVQI.Poor.Times"
,Minutes,,,s,s,s,s,s,None,None,None,None,None
2022-07-22 14:00+09:00,15,"ZZP401_PAB1011_HV_FLOBAMORA/Cell:eNodeB Function Name=ZZP401_PAB1011_HV_FLOBAMORA, Local Cell ID=22, Cell Name=ZZP401MT1_PAB1011_HV_FLOBAMORA_MT02, eNodeB ID=1041401, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP401_PAB1011_HV_FLOBAMORA/Cell:eNodeB Function Name=ZZP401_PAB1011_HV_FLOBAMORA, Local Cell ID=12, Cell Name=ZZP401MT1_PAB1011_HV_FLOBAMORA_MT01, eNodeB ID=1041401, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP418_PAB1125_HV_MAIBO/Cell:eNodeB Function Name=ZZP418_PAB1125_HV_MAIBO, Local Cell ID=22, Cell Name=ZZP418MT1_PAB1125_HV_MAIBO_MT02, eNodeB ID=1041418, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP418_PAB1125_HV_MAIBO/Cell:eNodeB Function Name=ZZP418_PAB1125_HV_MAIBO, Local Cell ID=12, Cell Name=ZZP418MT1_PAB1125_HV_MAIBO_MT01, eNodeB ID=1041418, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP012_PAB0004_HV_BATU_LUBANG/Cell:eNodeB Function Name=ZZP012_PAB0004_HV_BATU_LUBANG, Local Cell ID=22, Cell Name=ZZP012MT1_PAB0004_HV_BATU_LUBANG_MT02, eNodeB ID=1041012, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP012_PAB0004_HV_BATU_LUBANG/Cell:eNodeB Function Name=ZZP012_PAB0004_HV_BATU_LUBANG, Local Cell ID=12, Cell Name=ZZP012MT1_PAB0004_HV_BATU_LUBANG_MT01, eNodeB ID=1041012, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP022_PAB0015_HV_MIBI/Cell:eNodeB Function Name=ZZP022_PAB0015_HV_MIBI, Local Cell ID=22, Cell Name=ZZP022MT1_PAB0015_HV_MIBI_MT02, eNodeB ID=1041022, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP022_PAB0015_HV_MIBI/Cell:eNodeB Function Name=ZZP022_PAB0015_HV_MIBI, Local Cell ID=12, Cell Name=ZZP022MT1_PAB0015_HV_MIBI_MT01, eNodeB ID=1041022, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP029_PAB0039_HV_WONOSARI/Cell:eNodeB Function Name=ZZP029_PAB0039_HV_WONOSARI, Local Cell ID=22, Cell Name=ZZP029MT1_PAB0039_HV_WONOSARI_MT02, eNodeB ID=1041029, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP029_PAB0039_HV_WONOSARI/Cell:eNodeB Function Name=ZZP029_PAB0039_HV_WONOSARI, Local Cell ID=12, Cell Name=ZZP029MT1_PAB0039_HV_WONOSARI_MT01, eNodeB ID=1041029, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP030_PAB0040_HV_GISIM_DARAT/Cell:eNodeB Function Name=ZZP030_PAB0040_HV_GISIM_DARAT, Local Cell ID=22, Cell Name=ZZP030MT1_PAB0040_HV_GISIM_DARAT_MT02, eNodeB ID=1041030, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP030_PAB0040_HV_GISIM_DARAT/Cell:eNodeB Function Name=ZZP030_PAB0040_HV_GISIM_DARAT, Local Cell ID=12, Cell Name=ZZP030MT1_PAB0040_HV_GISIM_DARAT_MT01, eNodeB ID=1041030, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP052_PAB0082_HV_COKHIF/Cell:eNodeB Function Name=ZZP052_PAB0082_HV_COKHIF, Local Cell ID=22, Cell Name=ZZP052MT1_PAB0082_HV_COKHIF_MT02, eNodeB ID=1041052, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP052_PAB0082_HV_COKHIF/Cell:eNodeB Function Name=ZZP052_PAB0082_HV_COKHIF, Local Cell ID=12, Cell Name=ZZP052MT1_PAB0082_HV_COKHIF_MT01, eNodeB ID=1041052, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP016_PAB0008_HV_TELUK_DORE/Cell:eNodeB Function Name=ZZP016_PAB0008_HV_TELUK_DORE, Local Cell ID=22, Cell Name=ZZP016MT1_PAB0008_HV_TELUK_DORE_MT02, eNodeB ID=1041016, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP016_PAB0008_HV_TELUK_DORE/Cell:eNodeB Function Name=ZZP016_PAB0008_HV_TELUK_DORE, Local Cell ID=12, Cell Name=ZZP016MT1_PAB0008_HV_TELUK_DORE_MT01, eNodeB ID=1041016, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP033_PAB0044_HV_KLAIN/Cell:eNodeB Function Name=ZZP033_PAB0044_HV_KLAIN, Local Cell ID=22, Cell Name=ZZP033MT1_PAB0044_HV_KLAIN_MT02, eNodeB ID=1041033, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP033_PAB0044_HV_KLAIN/Cell:eNodeB Function Name=ZZP033_PAB0044_HV_KLAIN, Local Cell ID=12, Cell Name=ZZP033MT1_PAB0044_HV_KLAIN_MT01, eNodeB ID=1041033, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP031_PAB0041_HV_YORBES/Cell:eNodeB Function Name=ZZP031_PAB0041_HV_YORBES, Local Cell ID=22, Cell Name=ZZP031MT1_PAB0041_HV_YORBES_MT02, eNodeB ID=1041031, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP031_PAB0041_HV_YORBES/Cell:eNodeB Function Name=ZZP031_PAB0041_HV_YORBES, Local Cell ID=12, Cell Name=ZZP031MT1_PAB0041_HV_YORBES_MT01, eNodeB ID=1041031, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP053_PAB0084_HV_KLATIM/Cell:eNodeB Function Name=ZZP053_PAB0084_HV_KLATIM, Local Cell ID=22, Cell Name=ZZP053MT1_PAB0084_HV_KLATIM_MT02, eNodeB ID=1041053, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP053_PAB0084_HV_KLATIM/Cell:eNodeB Function Name=ZZP053_PAB0084_HV_KLATIM, Local Cell ID=12, Cell Name=ZZP053MT1_PAB0084_HV_KLATIM_MT01, eNodeB ID=1041053, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP057_PAB0096_HV_KLASOWOH/Cell:eNodeB Function Name=ZZP057_PAB0096_HV_KLASOWOH, Local Cell ID=22, Cell Name=ZZP057MT1_PAB0096_HV_KLASOWOH_MT02, eNodeB ID=1041057, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP057_PAB0096_HV_KLASOWOH/Cell:eNodeB Function Name=ZZP057_PAB0096_HV_KLASOWOH, Local Cell ID=12, Cell Name=ZZP057MT1_PAB0096_HV_KLASOWOH_MT01, eNodeB ID=1041057, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP076_PAB0123_HV_KLALIN_MOS/Cell:eNodeB Function Name=ZZP076_PAB0123_HV_KLALIN_MOS, Local Cell ID=22, Cell Name=ZZP076MT1_PAB0123_HV_KLALIN_MOS_MT02, eNodeB ID=1041076, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
2022-07-22 14:00+09:00,15,"ZZP076_PAB0123_HV_KLALIN_MOS/Cell:eNodeB Function Name=ZZP076_PAB0123_HV_KLALIN_MOS, Local Cell ID=12, Cell Name=ZZP076MT1_PAB0123_HV_KLALIN_MOS_MT01, eNodeB ID=1041076, Cell FDD TDD indication=CELL_FDD",Reliable,900,0,0,0,0,0,0,0,0,0
